x,y,u,f
4.771205932355191415e+00,7.456068066736814437e+00,2.150000000000000000e+02,1.133848741279142445e+02
5.645449372385060727e+00,4.286109457502933928e+00,5.000000000000000000e+00,1.855719443004517473e+02
9.091624783055911152e+00,4.186641017387803032e+00,3.500000000000000000e+01,7.605830044550092452e+02
9.167366110077942665e+00,6.562260224203436465e+00,2.000000000000000000e+02,7.795983298575998788e+02
2.454937793466397622e+00,5.741015286687546570e+00,2.950000000000000000e+02,1.725015558566860818e+01
4.413101908908543258e+00,2.917412449906409133e+00,2.750000000000000000e+02,9.036025882920638708e+01
6.136237235238322540e+00,3.404783913092894743e+00,2.000000000000000000e+01,2.371875906786933967e+02
4.672050305727683650e+00,4.011232217108078757e+00,1.450000000000000000e+02,1.066537670338656483e+02
8.988782954388739199e+00,4.813353030584728742e+00,8.500000000000000000e+01,7.352663900824292114e+02
2.554898470323032633e+00,4.249299722160094106e+00,2.600000000000000000e+02,1.923203377157574323e+01
3.301205839658383212e-01,3.472948290769772406e+00,1.250000000000000000e+02,3.659935826826272720e-01
1.083593070379625933e+00,2.761977512015683978e+00,1.450000000000000000e+02,2.355745734465101382e+00
3.355044951503625139e+00,6.121420851884614933e+00,1.300000000000000000e+02,4.112053372578795063e+01
3.236710377052187670e+00,5.890965170413739571e+00,1.900000000000000000e+02,3.714544557230297528e+01
4.264145368510318335e+00,8.480944773875560116e+00,9.500000000000000000e+01,8.179882551320558548e+01
3.247216044077973152e+00,4.684817790366919255e+00,2.500000000000000000e+01,3.748654678433774734e+01
5.231214331507763937e+00,7.251817665748332864e+00,1.000000000000000000e+02,1.483865541353228537e+02
7.325368223364278286e+00,3.414690518679382336e+00,2.950000000000000000e+02,4.004120566642561130e+02
6.180366730249789775e+00,6.433691882780479432e+00,7.000000000000000000e+01,2.422514327753014527e+02
8.553792765078473082e+00,5.118182268195170970e+00,1.000000000000000000e+02,6.344123456550880746e+02
7.958939111684587786e+00,1.289509424603251908e+00,2.200000000000000000e+02,5.121161034244061057e+02
